2,18 Scorpii,49981.46875,41006.65625,24144.65625,
3,Ross 249,49936.21875,40973.375,24084.4375,
4,LHS 112,49952.84375,40965.0,24089.65625,
5,LHS 6427,49951.75,40965.21875,24095.46875,
6,Teng Yeh,49991.28125,41013.4375,24092.53125,
7,San Tu,50009.96875,41021.8125,24096.21875,
8,Delta Pavonis,49993.375,40974.15625,24119.46875,
9,G 190-28,49941.0,40969.34375,24091.6875,
10,Hyroks,49956.4375,40982.90625,24113.5,
11,Skollung,49923.84375,40962.5625,24100.3125,
12,LHS 135,49957.8125,40961.90625,24084.75,
13,Caucan,49957.6875,40987.5,24112.5625,
14,Zeessze,49965.1875,40981.75,24090.71875,
15,Dala,50009.75,41010.90625,24082.9375,
16,Hambula,49945.34375,40991.125,24102.5,
17,70 Ophiuchi,49976.78125,40988.09375,24119.0625,
18,Pantaa Cezisa,49972.90625,40969.0,24090.78125,
19,Test,49984.0,40985.0,24105.0,
20,Test2,49984.0,40986.0,24105.0,
21,TestRender,49986.0,40984.0,24105.0,
22,LP 340-547,49931.65625,40976.71875,24116.90625,
23,NLTT 55164,49971.625,40963.34375,24111.59375,
24,Ipilyak,50065.9375,41014.6875,24135.15625,
25,LHS 3923,49932.1875,40964.09375,24092.5,
26,GT Pegasi,49939.53125,40964.09375,24100.875,
27,Baker,50000.59375,40978.71875,24129.5625,
28,Wolf 926,49926.84375,40984.6875,24099.6875,
29,LHS 289,50038.5625,41022.1875,24102.09375,
30,Colanja,49966.84375,40993.875,24117.25,
31,LFT 1748,49941.625,40986.0,24089.875,
32,LP 30-55,49958.4375,40991.75,24084.28125,
33,LHS 535,49938.375,40991.84375,24084.5625,
34,Rana,49991.5,40964.0,24085.34375,
35,LFT 90,49955.78125,40984.0625,24085.1875,
36,Liu Links,50063.03125,40982.5,24154.125,
37,LHS 6386,49930.03125,40979.90625,24102.0,
38,Ross 847,50001.5,41039.03125,24147.875,
39,Lacaille 9352,49984.59375,40975.1875,24109.21875,
40,La Rochelle,49987.03125,40973.1875,24115.8125,
41,61 Cygni,49973.78125,40983.8125,24106.40625,
42,LP 291-34,49937.6875,40963.34375,24086.28125,
43,Hyperion,49933.8125,40992.5,24088.28125,
44,54 Piscium,49961.53125,40961.1875,24091.4375,
45,Lacaille 8760,49984.3125,40975.90625,24114.09375,
46,V374 Pegasi,49958.09375,40974.4375,24107.90625,
47,LP 149-14,49936.6875,40971.59375,24083.46875,
48,EZ Aquarii,49980.5625,40975.6875,24109.09375,
49,DX 799,49962.03125,40997.3125,24087.09375,
50,Minmar,49999.9375,40964.5625,24113.5625,
51,BR Piscium,49974.375,40968.65625,24104.09375,
52,PSPF-LF 2,49980.59375,40967.84375,24089.65625,
53,TZ Arietis,49979.625,40974.40625,24096.5,
54,14 Herculis,49948.28125,41026.6875,24119.125,
55,Omicron-2 Eridani,49989.59375,40975.09375,24092.9375,
56,G 230-27,49926.875,40996.4375,24107.6875,
57,LP 816-60,49977.1875,40974.34375,24118.15625,
58,Epsilon Eridani,49986.9375,40977.25,24098.15625,
59,LHS 2459,49974.0,40995.78125,24096.78125,
60,Tau Ceti,49984.625,40973.59375,24101.5,
61,Wolf 1453,49992.96875,40979.0,24089.46875,
62,YZ Ceti,49983.8125,40973.1875,24102.84375,
63,LHS 1885,49974.78125,40995.5,24084.375,
64,Wolf 25,49973.9375,40964.53125,24097.875,
65,EQ Pegasi,49969.5625,40972.25,24102.4375,
66,Ross 986,49984.75,40992.1875,24085.75,
67,WISE J000517,49965.53125,40975.40625,24096.75,
68,Lalande 18115,49981.15625,40999.0,24090.59375,
69,CU Cancri,49995.5625,40999.5,24082.6875,
70,NLTT 44219,49964.4375,41008.375,24152.65625,
71,G 41-14,49992.9375,40992.71875,24095.5625,
72,Gamma Coronae Austrinae,49984.53125,40966.28125,24158.25,
73,LP 245-10,49966.03125,40971.125,24080.71875,
74,LHS 4003,49962.0,40974.0625,24097.5625,
75,Ross 128,49990.53125,40994.4375,24105.125,
76,Oresqu,50042.875,41030.84375,24151.90625,
77,Ross 780,49978.875,40971.71875,24109.5625,
78,LHS 3577,49944.40625,40985.625,24108.96875,
79,Wolf 359,49988.875,40991.46875,24103.09375,
80,G 125-30,49950.53125,40987.3125,24118.96875,
81,Test3,49984.0,40984.0,24105.0,
82,Toolfa,49993.0,40973.8125,24102.34375,
83,van Maanen's Star,49978.6875,40973.3125,24100.875,
84,Wolf 1329,49967.6875,40963.71875,24116.34375,
85,LHS 71,49964.96875,40983.84375,24097.59375,
86,31 Aquilae,49948.375,40982.96875,24138.25,
87,LHS 215,49964.40625,40998.28125,24086.6875,
88,Wolf 294,49986.0,40989.9375,24087.46875,
89,Ross 154,49983.0625,40983.15625,24114.3125,
90,IL Aquarii,49978.84375,40971.65625,24109.78125,
91,86 Mu Herculis,49965.5,40996.53125,24119.875,
92,Skeggiko O,50038.6875,40996.9375,24121.5,
93,Groombridge 34,49975.09375,40981.3125,24099.90625,
94,Struve 1321,49970.53125,40981.90625,24091.34375,
95,LHS 1963,49984.5625,40999.09375,24080.6875,
96,Sesuang,50030.6875,40981.78125,24127.125,
97,G 89-32,49995.28125,40989.59375,24088.3125,
98,WISE 1506+7027,49977.625,40992.09375,24102.5625,
99,Barnard's Star,49981.96875,40986.375,24109.9375,
100,Ross 671,49967.46875,40971.15625,24105.625,
101,YZ Canis Minoris,49996.125,40989.6875,24089.78125,
102,Stopover,49983.34375,40974.71875,24121.625,
103,Wolf 1481,49990.1875,40998.375,24118.5625,
104,LHS 449,49989.1875,40983.09375,24119.0625,
105,LP 792-33,50039.8125,41034.65625,24112.71875,
106,G 203-47,49966.65625,40999.25,24112.09375,
107,Wolf 718,49974.96875,40993.3125,24126.4375,
108,LHS 380,49990.28125,40991.75,24115.875,
109,WISE 0855-0714,49991.53125,40982.84375,24107.03125,
110,LAWD 80,49967.40625,40960.21875,24151.1875,
111,V1581 Cygni,49970.0625,40987.25,24107.9375,
112,Lalande 38451,49925.84375,40988.625,24120.65625,
113,Stein 2051,49975.53125,40987.4375,24089.625,
114,LHS 223,49992.0,40989.5625,24081.09375,
